participant_id,color,contingency,n_early,n_late,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,early_predicts_late_skill
sim-participant-001,blue,B_rich,36,36,0.4828138739365895,49.782210776341195,49.782210776341195,0.22324783560905934,0.1100986730170869,0.8583473455505837,0.4876742196149202
sim-participant-001,green,A_rich,36,36,0.6585844196758993,46.16202573346954,46.16202573346954,0.45338439306106787,0.10048739321843969,0.7772173359969747,0.48885147889391334
sim-participant-002,blue,A_rich,36,36,0.8842464165003934,13.988537046120426,27.977074092240837,0.36906194106043544,0.36906194106043544,0.5447292312492004,0.28476985042857084
sim-participant-002,green,B_rich,36,36,0.9960419170278805,18.188353579426288,36.376707158852575,0.11294868795508478,0.11294868795508478,0.5988503638018257,0.3471378431057396
sim-participant-003,blue,B_rich,36,36,0.6765240583081068,47.42738579952066,47.42738579952066,0.4499511441469091,0.29885080777475614,1.5237281803733074,0.24100819331264134
sim-participant-003,green,A_rich,36,36,0.9683302299429747,7.893299819440455,15.786599638880881,0.13548834574287388,0.13548834574287388,0.6085131579734037,0.4032780768326768
sim-participant-004,blue,A_rich,36,36,0.9566449887642028,43.70364917150442,87.40729834300885,0.031448765787701616,0.031448765787701616,0.5796755008194837,0.27899618573116636
sim-participant-004,green,B_rich,36,36,0.991207963438629,1.198276947243117,2.3965538944862197,0.011197530716553383,0.011197530716553383,0.4944522643969492,0.37185487325211397
sim-participant-005,blue,B_rich,36,36,0.9857598521024125,37.03976040654441,74.07952081308882,0.25745039185370755,0.25745039185370755,0.5982310539385107,0.26916122842395696
sim-participant-005,green,A_rich,36,36,0.9754957776031457,16.604684105592263,33.2093682111845,0.0449358637078886,0.0449358637078886,0.5378248330973299,0.4280791240732611
sim-participant-006,blue,A_rich,36,36,0.9767949561620282,18.63793265698648,37.27586531397292,0.040642852179721634,0.040642852179721634,0.6405762505648231,0.3164416223308931
sim-participant-006,green,B_rich,36,36,0.9796939477145742,7.0268930654291735,14.053786130858343,0.26166773844618824,0.26166773844618824,1.1122508130292688,0.2877713115948761
sim-participant-007,blue,A_rich,36,36,0.9536189016858904,24.94500098536818,49.890000491957025,0.2339494998607844,0.2339494998607844,1.1575103902756556,0.29059259414041927
sim-participant-007,green,B_rich,36,36,0.5384999826014281,49.44242870455846,49.44242870455846,0.19084689201503877,0.023760512004959877,0.7128039911492539,0.37138110087217935
sim-participant-008,blue,B_rich,36,36,0.9793040114351284,10.109898170155365,20.219796340310715,0.05394762731676661,0.05394762731676661,0.5651279944192016,0.27848671156327
sim-participant-008,green,A_rich,36,36,0.6598781289475072,31.686641842499593,63.37328368499919,0.3519943226337604,0.3519943226337604,0.8743203616522208,0.13272661667439434
