participant_id,fitted,n_transitions,skill_A_i,skill_A_ic,ridge_alpha,spectral_radius,lambda1_real,lambda1_imag,lambda2_mag,complex_pair,dominant_feature,half_life_bins,oscillation_period_bins,loading_choice_prop_A,loading_reward_rate,loading_switch_rate
sim-participant-001,True,375,0.3796799721352736,0.41219010419178914,10.0,0.3375675808531662,0.3375675808531662,0.0,0.16250828592445493,True,P(A),0.6382632145056504,,-0.9870645219506378,0.10730235891166402,0.11912108662344967
sim-participant-002,True,375,0.42424982035482617,0.4214859969166992,10.0,0.46214174985934847,0.46214174985934847,0.0,0.1972529608139067,True,P(A),0.8979944193922562,,-0.9990243166188029,-0.03759303831387778,-0.02317710669314467
sim-participant-003,True,375,0.4460986945698898,0.42233257863577667,10.0,0.6166278327200295,0.6166278327200295,0.0,0.2505689306631887,True,P(A),1.4336340305182347,,-0.9956635696004843,0.09276279434955094,-0.007008577236832109
sim-participant-004,True,375,0.3719969522421055,0.35609283238194633,10.0,0.660258536756978,0.660258536756978,0.0,0.26959182787912667,True,P(A),1.6697360724411447,,-0.9990636544093693,-0.004895232722344922,0.0429866390264519
sim-participant-005,True,375,0.4128681466957217,0.4315725043872063,0.01,0.4940431485004518,0.4940431485004518,0.0,0.22578268883821484,True,P(A),0.9830028522896463,,-0.9950118692839122,0.07006950881688809,-0.07100453449107934
sim-participant-006,True,375,0.4164010519989453,0.3815527695070372,0.01,0.6252914756533643,0.6252914756533643,0.0,0.4780902130638281,False,reward rate,1.4762342992101656,,-0.34889157081580485,0.9267107744769623,-0.13957726276865098
sim-participant-007,True,375,0.33946416792138645,0.32986840676913043,0.01,0.6773848380448763,0.6773848380448763,0.0,0.2771175854556574,True,P(A),1.7795101518087602,,0.9779956667364303,-0.15308787928804393,0.14173417745855912
sim-participant-008,True,375,0.45217866795148,0.4209401467542708,10.0,0.4454802315623468,0.4454802315623468,0.0,0.14547057255384022,True,P(A),0.857216321466128,,-0.9993038234582768,-0.01064815102386827,0.03575591281791089
sim-participant-009,True,375,0.33579298699382376,0.3287348781059599,10.0,0.44447783940794466,0.44447783940794466,0.0,0.1161264600787788,True,P(A),0.8548348494562211,,-0.9787026248896784,0.18274939628492123,-0.09350844984037675
sim-participant-010,True,375,0.47314421082888103,0.44735000734013497,0.01,0.36495020170719333,0.36495020170719333,0.0,0.06161557385124168,True,P(A),0.6876498543037258,,-0.9995537143170118,-0.012810620097092874,0.02698629666689168
sim-participant-011,True,375,0.4081712882079669,0.39495948132468706,0.01,0.48336210680067937,0.48336210680067937,0.0,0.20929189857691088,True,P(A),0.9534490718564217,,-0.9959664647116178,0.0489633393813135,-0.07518904552175383
sim-participant-012,True,375,0.43834807101408335,0.4057806773720902,10.0,0.2009309050050165,0.2009309050050165,0.0,0.08451022589400979,True,reward rate,0.43192278892466385,,0.23983335888463952,0.9074147025633055,0.34507755293275666
sim-participant-013,True,375,0.30244631155941115,0.2752401214040331,10.0,0.5521805709759077,0.5521805709759077,0.0,0.2611326531198043,True,P(A),1.1671499093057236,,0.9868867515387,0.1589520437059687,-0.028085359871081354
sim-participant-014,True,375,0.45681518150898803,0.478591994329307,0.01,0.47134254433527084,0.47134254433527084,0.0,0.2040119291843857,True,P(A),0.9215297281921242,,-0.9996902335771833,-0.02134331362093922,-0.012802337836308858
sim-participant-015,True,375,0.3291801514516084,0.3155466407397476,10.0,0.5477247166357646,0.5477247166357646,0.0,0.20618657505090282,True,P(A),1.1514408250046866,,-0.9999873118124842,-0.002160383351325598,0.004550709594856435
sim-participant-016,True,375,0.3979606948486105,0.4151908667876637,10.0,0.6859357938354569,0.6859357938354569,0.0,0.20676029523415917,True,P(A),1.8387269039857947,,-0.9972571089101661,0.06450927805035017,-0.036287901200810234
