n_transitions,same_cosine_median,diff_cosine_median,auc
10,0.436,0.434,0.516
15,0.457,0.432,0.525
20,0.472,0.433,0.534
30,0.496,0.419,0.572
40,0.542,0.427,0.596
60,0.638,0.425,0.648
80,0.709,0.411,0.679
120,0.799,0.373,0.748
