participant_id,context_a,context_b,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,bin_clicks
P01,1,2,0.5377824185262419,50.37267388903783,63.760695000448536,0.288660438335964,0.288660438335964,0.9712342794073163,10
P01,1,3,0.7449216158102218,50.89283326454361,74.37070746143706,0.07211333292134145,0.07211333292134145,0.7799585072293945,10
P01,1,4,0.8844419148574753,23.8126571659291,26.754336378508103,0.14825233043799527,0.14825233043799527,0.8534198227350637,10
P01,2,3,0.018279031881192953,44.35803724505744,80.19044376930584,0.21654710541462252,0.21654710541462252,1.1275444248113102,10
P01,2,4,0.6820476053145441,52.927092062667285,65.21706636003024,0.1404081078979687,0.1404081078979687,0.8843985201561613,10
P01,3,4,0.6707813305327941,48.00727237382836,85.73838323699002,0.07613899751665382,0.07613899751665382,0.9375331753667852,10
P02,1,2,0.36155500356299125,68.59782123688856,68.59782123688856,0.35632550680752595,0.26839050219662725,0.5924515426803799,10
P02,1,3,0.25876211591810827,22.404290357074423,22.404290357074423,0.477918395102731,0.23316420144066283,0.7485705620415487,10
P02,1,4,0.022796284922857832,15.16500131079522,15.16500131079522,0.525045654042945,0.22472350022810206,0.798546672266921,10
P02,2,3,0.14644498931019234,81.57903571822285,81.57903571822285,0.12406758867298842,0.03522630075596442,0.3678576965514349,10
P02,2,4,0.19442965108607357,78.78859267047282,78.78859267047282,0.1690262134799328,0.04366700196852519,0.3987084776104898,10
P02,3,4,0.9290182395809957,21.71770994679998,21.71770994679998,0.05050441567583645,0.00844070121256077,0.5294803549003622,10
P03,1,2,0.8543313555754386,31.291835697470468,31.291835697470468,1.0982171999383687,0.28768993228894485,2.9361194601326366,10
P03,1,3,0.1481385229044345,33.392400424966226,33.392400424966226,0.8843089142144276,0.3066009086470738,3.198931287171842,10
P03,1,4,0.5931959036069904,51.39410591228585,60.87259085751032,0.6055561371795098,0.6055561371795098,3.175706338238418,10
P03,2,3,0.38989995121651216,67.0517257817899,67.0517257817899,0.29400654010235416,0.01891097635812894,1.5248700603920595,10
P03,2,4,0.29441181258387555,32.870362732945765,32.870362732945765,1.6857753428788789,0.8932460694684548,2.766719551091115,10
P03,3,4,0.08342390037998192,79.77375977332387,79.77375977332387,1.443568661191144,0.9121570458265836,2.5691749597387554,10
P04,1,2,0.3693247460414433,70.17794334811576,81.40717306261028,0.1437949704762269,0.1437949704762269,1.0769911960960117,10
P04,1,3,0.8792673796629835,26.01443230303273,35.106136265348596,0.0941063200389386,0.0941063200389386,0.9771423753817927,10
P04,1,4,0.7148055275448373,51.398370837847146,80.04793894012035,0.5843522706708222,0.32884191915256694,0.9021323846314184,10
P04,2,3,0.6295594474962257,63.82114790679352,80.07855946450965,0.2379012905151655,0.2379012905151655,1.0198942983162498,10
P04,2,4,0.37979617806640337,32.95221735071219,41.94730541857337,0.7281472411470491,0.47263688962879385,0.7291900605861873,10
P04,3,4,0.7859419575637194,31.87014612582045,56.88662909159278,0.49024595063188353,0.23473559911362835,0.8062910438193084,10
P05,1,2,0.14561100543125072,54.546227662529304,86.51080997924099,0.7776386967518492,0.3163714038053849,0.899903628595356,10
P05,1,3,0.4181703599031956,65.19759824707118,65.19759824707118,0.5474041873100595,0.3125587963388672,0.9695722827131309,10
P05,1,4,0.2665485712399335,54.95737022147729,81.11286017026917,0.37623958488797826,0.37623958488797826,1.079777068803627,10
