n_pre_transitions,recovery_forecast_skill_median,frac_skill_positive,half_life_abs_error_median
10,0.58,0.923,0.524
15,0.654,0.972,0.305
20,0.693,0.975,0.252
30,0.715,0.977,0.233
40,0.736,0.982,0.228
60,0.737,0.982,0.218
80,0.755,0.983,0.225
120,0.76,0.98,0.214
