n_transitions,same_operator_cosine_median,same_operator_cosine_p05,same_operator_cosine_p95,same_operator_angle_median,cosine_to_truth_median,frac_recovering_truth_at_0.9,rho_abs_error_median,rho_bias,frac_rho_within_0.05
10,0.496,0.052,0.94,41.6,0.581,0.158,0.12,0.088,0.207
15,0.552,0.053,0.952,38.616,0.71,0.21,0.108,0.026,0.245
20,0.565,0.062,0.962,36.089,0.742,0.25,0.1,-0.009,0.245
30,0.617,0.072,0.974,32.441,0.822,0.358,0.093,-0.033,0.28
40,0.735,0.087,0.982,30.029,0.839,0.388,0.093,-0.049,0.27
60,0.804,0.11,0.986,28.088,0.899,0.502,0.086,-0.06,0.307
80,0.838,0.15,0.989,25.088,0.945,0.595,0.083,-0.069,0.322
120,0.885,0.257,0.993,21.026,0.962,0.615,0.073,-0.074,0.342
