participant_id,context,n_early,n_late,rho_early,rho_late,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,early_predicts_late_mse,early_predicts_late_skill,bin_clicks
P01,1,13,13,0.17137129030911835,0.2732377158758806,0.39692324786635574,52.008245079161576,52.008245079161576,0.4393475722686236,0.10186642556676223,0.9207979521961598,1.6642569321158367,0.40680403200275317,10
P01,2,12,13,0.35671467668027107,0.29047759253949085,0.374220708817847,33.25967269022504,43.988091359106946,0.06623708414078022,0.06623708414078022,0.9976542696003476,1.654470289687997,0.5308266045245649,10
P01,3,12,13,0.2948888306823122,0.38389826552887857,0.18368082655110543,79.41576857323041,79.41576857323041,0.518492851540731,0.08900943484656637,1.1851513064024333,1.790783179122837,0.5167050312154409,10
P01,4,13,13,0.23961778692314958,0.31540028617943605,0.8116289996174902,18.798012931141308,18.798012931141308,0.384910681733138,0.07578249925628647,0.8629125037376411,0.9511893898637663,0.5422700958788882,10
P02,1,6,6,0.38251491271757504,0.4438648362693328,0.6678785132045444,41.11119318648418,41.11119318648418,0.8256458216263836,0.06134992355175778,2.370632923072724,85.37839641369533,-4.17566498695382,10
P02,2,7,8,0.289743597787951,0.19617886104701526,0.9542995813895695,17.21410716491137,17.21410716491137,0.43985028769755335,0.09356473674093574,0.7052466447386518,11.166175641145522,-0.00668308155787245,10
P02,3,8,8,0.07080319216838445,0.41595703831558234,0.8001609694363027,36.85452344653163,36.85452344653163,0.3538919579481732,0.3451538461471979,0.7194777521810403,1.3798161857407831,0.4413613248854201,10
P02,4,5,6,0.2768516848322865,0.21096915907916142,0.31892660026017566,40.88673742517725,40.88673742517725,0.21947628981278866,0.06588252575312509,0.4854236611435753,1.1370679694721424,0.38731616465646956,10
P03,1,10,11,0.7582783882702653,1.0527422046865145,0.9054021984097902,19.391988453080508,30.387683885171175,0.2944638164162492,0.2944638164162492,3.450314715595629,3.353507286493306,-6.0293663559437,10
P03,2,11,11,0.6476682794001181,0.8847483631548032,0.1952379080705601,78.74137814892698,78.74137814892698,0.248096267853613,0.23708008375468514,3.3735214997008476,4.060938506195291,-0.2677760753575451,10
P03,3,11,11,0.43372607999234164,0.5855781535590938,0.9028368117464171,23.11144779765092,23.11144779765092,0.8078512438840966,0.15185207356675218,1.9181262977590874,1.2082149101072939,0.11649550211132365,10
P03,4,6,7,1.0120095832023268,1.8331449678821472,0.5870671767866736,54.04635690323311,64.65830668106857,0.8211353846798204,0.8211353846798204,8.964246855537626,8.133572352956548,-2.0906266385542156,10
P04,1,13,13,0.5426873754246208,0.23168729876486346,0.7581827940237275,22.11973153449068,30.967592091582784,0.31100007665975726,0.31100007665975726,0.6531648531648934,1.3567430195125867,-0.22743872055748282,10
P04,2,12,13,0.4192174715785261,0.3620123868563438,0.07562888204900825,34.64023802169216,63.284220718531934,0.7812298584348699,0.05720508472218233,0.6751089382920695,0.739387805186214,0.5240209012881354,10
P04,3,14,14,0.46223625681475144,0.40861510765479364,0.16897940333751316,55.32776325125552,73.29903403467897,0.870851364469545,0.053621149159957804,0.7691163011225363,0.6051457647119254,0.6078028308536045,10
P04,4,14,15,0.3420060340981697,0.38589273935954044,0.8143846893283072,34.62140630109427,34.62140630109427,0.6980650351304785,0.04388670526137073,0.9528730229182554,3.0496787169212594,0.48468167717955835,10
P05,1,10,11,0.5023941401282961,0.17384407409543134,0.25105487887932043,57.47421504064375,57.47421504064375,0.40362084161436806,0.32855006603286474,0.7381183540971883,3.890679206455827,-1.2770160974336036,10
P05,2,11,11,0.3889715051241849,0.49689935022672904,0.6688535277964646,12.964201923852201,12.964201923852201,0.6314039950881994,0.10792784510254416,0.9182327048069006,2.148725551055048,0.2982048269313975,10
P05,3,12,13,0.21436012904361768,0.32848260493951675,0.29602253873513656,72.78113660481442,72.78113660481442,0.13218758450242124,0.11412247589589908,0.6406619453591805,1.7402637863715027,0.22739929548006865,10
P05,4,12,13,0.15991923579807188,0.3339643476508411,0.011670571025517162,26.873973428858775,26.873973428858775,0.4565791946010986,0.17404511185276922,0.8490679445122088,1.8680936404813009,0.47203701418998745,10
P06,1,5,6,0.1630942079815289,0.14381503351809755,0.5073154339355995,59.247827551027356,59.247827551027356,0.23203707353168265,0.01927917446343136,0.33733364360789553,0.6383883389371048,0.29490369644240233,10
P07,1,11,12,0.5791635722765314,0.419585635399943,0.23363967416364378,22.12477436599631,38.10991034949545,0.9987492076764743,0.1595779368765884,0.7488506640716772,0.7278724923724734,0.37385129173578224,10
P07,2,14,15,0.3935499431347925,0.3747727009794316,0.176435215838737,79.8378103748524,79.8378103748524,0.31892273535759164,0.018777242155360918,0.6931930717724579,3.4901414223943785,0.6147266491566734,10
P07,3,15,16,0.2092390992442307,0.2744734365183689,0.21499648155735007,64.12567395641936,64.12567395641936,0.18715332506509796,0.06523433727413822,0.6138452237437272,0.923544541295821,0.5335251576804578,10
P07,4,15,16,0.21681204645771526,0.34142618361933497,0.084408064956195,85.15801283687395,85.15801283687395,0.13810190214523016,0.1246141371616197,0.697662879041588,1.4307521359215478,0.5465313022548268,10
P08,1,12,12,0.2084803856615423,0.4741120138297972,0.7461516763123113,39.627390068710866,39.627390068710866,0.509553535538379,0.26563162816825486,0.9539544721232712,4.551556289485869,-0.34943407766798984,10
P08,2,11,12,0.26351872211908006,0.502997832944969,0.9133993769195917,15.263225931986128,15.263225931986128,0.32987031689405916,0.23947911082588896,1.0422274968051308,1.8458730921132567,0.5835486511592283,10
P08,3,12,12,0.2606643740464778,0.19041162409706172,0.05308447682603445,63.807756449344076,63.807756449344076,0.20723178668142025,0.07025274994941608,0.7556473496165999,0.9859526348205064,0.2895630595253704,10
P08,4,11,12,0.3150543944895188,0.1619677833119641,0.5150281321409982,59.00066460388526,59.00066460388526,0.26041888044679806,0.15308661117755468,0.6349685768659019,1.2541928912768348,0.09885718534084176,10
P09,1,11,11,0.2890549239463519,0.6839432757103229,0.40540730295294364,65.01413047277067,65.01413047277067,0.9673116371945918,0.39488835176397097,1.3978287831207814,7.419837925077493,-0.2180964501211864,10
P09,2,12,12,0.2711260071195618,0.34797802876952033,0.8855306805373088,27.683102072979175,27.683102072979175,0.18311701592747456,0.07685202164995852,0.6375819585552787,1.1744916673823977,0.6094541467094879,10
P09,3,13,14,0.3696898011157421,0.33004084555839,0.2863880050110513,73.35816580990333,73.35816580990333,0.2997503772539933,0.03964895555735215,0.6660276522479263,2.0880238544377674,0.1917144726094473,10
P09,4,13,14,0.1895055570463065,0.43530746154005096,0.05488126808641233,37.471717476264004,68.7880401952965,0.24580190449374445,0.24580190449374445,1.0713688100407763,5.381243567447119,-0.1266560689782339,10
