participant_id,B_A1,rho_A1,B_B1,rho_B1,B_A2,rho_A2,B_B2,rho_B2,B_sign_flips,rho_spread,rho_spread_null_p95,rho_unstable,pre_switch_alignment,n_switches,cue_gain_near,cue_gain_far,n_near
5dbcdf38a39098278b46036c,0.03062257334197541,0.7453729727199331,-0.042567781880985936,0.7881678823005362,0.027812628304639892,0.7763041756495401,-0.044700805188931395,0.8037825146653078,True,0.05840954194537473,0.1693678808985799,False,-0.24285714285714288,28,-6.462809341110283,-2.0905871520844594,7
5f89a35824bee7076b6d536c,0.04661963020393117,0.7534369272832058,-0.01624469314800799,0.8769095304532852,0.05645475251632254,0.7085039214672663,-0.05392258984656353,0.6777984079303992,True,0.19911112252288599,0.3128391141233933,False,-0.13571428571428568,28,0.962323515348684,-2.8505961871387293,7
60324e0d654dbd21e0e7fa2d,-0.03006821753813668,0.905100226709983,0.03176463968912635,0.7744234681459392,-0.04241932482457169,0.748771664562764,0.03083423900961378,0.7167715675977124,True,0.1883286591122706,0.29625073074922825,False,-0.42499999999999993,28,-0.4005846748655503,-0.7791048920159477,7
650f06d2017a53e840c5af61,-0.03363241887998155,0.7604634001374821,0.0407958621417197,0.6499363209987118,-0.03935603785397666,0.6433720832971636,0.021583192281858454,0.7552212282206667,True,0.1170913168403186,0.2568341318204725,False,-0.1285714285714286,28,0.033858899250270066,-0.10711335749337364,7
664b8bef90cdb799d4c4c35d,0.007940514740953392,0.30200812491172324,-0.027163221069841346,0.7006605104436958,0.011717778175482647,0.815059087259242,-0.012760742786466248,0.795041146086644,True,0.5130509623475188,0.6444327268710389,False,-0.03214285714285715,28,1.607242733015441,-0.1300923168681049,7
681b781064a5701a5ceee3bc,0.08777342623484409,0.8300023260959746,-0.02534522721125653,0.7842945423674791,0.032094530804576235,0.764780519316662,-0.04534667350966554,0.7263364214595761,True,0.10366590463639846,0.2183409964301197,False,0.01428571428571429,28,-5.18716873460578,-2.060648318511295,7
6931bc7a9286300ba24d7703,0.06691209990416098,0.4832917510289447,-0.07690610486867354,0.33956191604592445,0.07674105289390773,0.27651279821611224,-0.07011681698651591,0.4302515140942373,True,0.20677895281283248,0.3713149258820886,False,-0.1571428571428571,28,0.8499104364498259,-1.0109948924655068,7
697aa4b8d2b6c1b3b9d7ae2c,-0.021981921691438765,0.7261064205007558,0.022321935626976094,0.883749874571818,-0.01228214666738292,0.8948730357375551,0.01327203504351619,0.8135938391002832,True,0.16876661523679926,0.2591599386405585,False,-0.08214285714285716,28,-0.3007359067875831,-0.20582136054316813,7
698078075d3326e1b30bd1c3,0.05209099793974654,0.7106223382048688,-0.020435964176721933,0.8280044493930868,0.03854049638658781,0.7156211420600622,-0.022139429340048367,0.7864012899671797,True,0.11738211118821806,0.2433393101809538,False,-0.23928571428571427,28,2.7901342261260385,-0.11305748121281119,7
69825ba5f82e6ac78f401931,-0.03329136721347391,0.7288185723244969,0.0443002701172858,0.7976737692482909,-0.01190794359263846,0.8477023663344728,0.00861698626277342,0.831271710570734,True,0.11888379400997595,0.2036584319691761,False,-0.12142857142857143,28,0.428100818207533,0.015497803489210319,7
69861227e96662416a5b08ac,-0.05571161733875007,0.7302668751406899,0.054758600914801704,0.6177979861053124,-0.039669668869201126,0.7263352306019305,0.0492856470883472,0.663417161640285,True,0.11246888903537744,0.2688827077690541,False,-0.29642857142857143,28,0.17751609103741778,-1.4261279706225403,7
698754c1f51d3f9181f7952b,0.043963633439828266,0.4788798339534925,-0.03401549563320697,0.615794161684516,-0.019478256112837745,0.6882654314896507,-0.000888481887737216,0.7198339514110528,True,0.2409541174575603,0.376849825349415,False,-0.20357142857142857,28,0.2622671651714671,-0.2878990266937209,7
