participant_id,fitted,n_transitions,skill_A_i,skill_A_ic,ridge_alpha,spectral_radius,lambda1_real,lambda1_imag,lambda2_mag,complex_pair,dominant_feature,half_life_bins,oscillation_period_bins,loading_choice_prop_A,loading_reward_rate,loading_switch_rate
sim-participant-001,True,303,0.48236122853121544,0.4343093743097878,10.0,0.09335655106426537,-0.09335655106426537,0.0,0.02282231946510496,True,switch rate,0.29230322412320575,,-0.3547329940673358,0.2339119505919982,-0.9052346117390067
sim-participant-002,True,303,0.40863211234071284,0.41661401701090806,10.0,0.5444290057252384,0.5444290057252384,0.0,0.10061556925375498,True,P(A),1.140011461809922,,-0.9550435717303134,0.10286508150125839,-0.2780477496840157
sim-participant-003,True,303,0.39410349041690607,0.39274107746153275,0.01,0.658274294830895,0.658274294830895,0.0,0.18137821735432244,False,P(A),1.657717115283645,,0.9949593671105974,0.03281619827352142,0.0947573476293653
sim-participant-004,True,303,0.3873929552618217,0.39382942058837644,10.0,0.6153228695225157,0.6153228695225157,0.0,0.16779700204952816,True,P(A),1.427379605072217,,0.9673468726152424,-0.14912458269235063,0.2049436187792689
sim-participant-005,True,303,0.4123813394511544,0.3879657557112308,1.0,0.5374565263820267,0.5374565263820267,0.0,0.0986644717443517,False,P(A),1.1163454917160753,,0.999367545976863,0.023868951513677628,0.026358702582271798
sim-participant-006,True,303,0.4113204542067407,0.3574232934914642,0.01,0.5491875859073544,0.5491875859073544,0.0,0.26320263083412637,False,P(A),1.1565653095468025,,0.927715760848282,-0.3661645484074473,-0.0725740350487946
sim-participant-007,True,303,0.36975009351002897,0.35635552881021404,0.01,0.6543640886328612,0.6543640886328612,0.0,0.16074304392170205,True,P(A),1.6344288668713514,,-0.9956003369325468,0.07581635173233273,-0.05506223669447529
sim-participant-008,True,303,0.43081542838179754,0.38860797512333667,1.0,0.616359065810232,0.616359065810232,0.0,0.14166900160319731,True,P(A),1.4323424929151778,,0.9573310642439948,-0.268916455562275,0.10583559590838632
sim-participant-009,True,303,0.4078741128248625,0.42253226430735114,0.01,0.5714300333126423,0.5714300333126423,0.0,0.12689707838896308,False,P(A),1.2386182882129178,,0.9878024932288972,0.020747862423697316,-0.15432355807076897
sim-participant-010,True,303,0.35950737214673734,0.32373375651202285,10.0,0.4860609738502315,0.4860609738502315,0.0,0.1619796789809593,False,P(A),0.9608078862919763,,-0.9939194057149267,0.09577743598165575,-0.054322165826364774
