participant_id,color,contingency,n_early,n_late,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,early_predicts_late_skill
sim-participant-001,blue,B_rich,36,36,0.202631088961186,40.45826424777923,40.45826424777923,0.22655593164036097,0.06861351885987632,0.8785683590218286,0.41666679819689445
sim-participant-001,green,A_rich,36,36,0.8320474739531883,16.981006428916356,16.981006428916356,0.45868259909397907,0.05400506225918872,0.7623138876277253,0.4584080957746196
sim-participant-002,blue,A_rich,36,36,0.9298884606283493,10.681173569262864,10.681173569262864,0.4786493009419032,0.15875121204368056,0.7813695579958082,0.3985910426449306
sim-participant-002,green,B_rich,36,36,0.9630437630594512,21.503938694906868,43.007877389813736,0.0926222387347313,0.0926222387347313,0.6151895102381602,0.4767762548294967
sim-participant-003,blue,B_rich,36,36,0.9477744306873257,9.280176912875302,18.56035382575059,0.040076481783726525,0.040076481783726525,0.9948990637234433,0.3465843008720906
sim-participant-003,green,A_rich,36,36,0.9458618574504927,38.28856494701309,76.57712841524685,0.06476106700314255,0.06476106700314255,0.7522783898532766,0.43760865352879286
sim-participant-004,blue,A_rich,36,36,0.7448479973013772,26.49579175717886,52.99158351435772,0.037569399891479116,0.037569399891479116,0.8265263276051769,0.2286826499957273
sim-participant-004,green,B_rich,36,36,0.9711831014756472,22.790834121460588,45.581668242921175,0.07380021421033434,0.07380021421033434,0.4967104204427627,0.3118533063925779
sim-participant-005,blue,B_rich,36,36,0.8771272352447211,37.868811350835784,75.73762184789793,0.015766556059402803,0.015766556059402803,0.7212817346554742,0.33056459863375076
sim-participant-005,green,A_rich,36,36,0.7944095231671167,31.018979815524816,62.0379581522703,0.05786278176546927,0.05786278176546927,0.3626890532768962,0.4347519476549577
sim-participant-006,blue,A_rich,36,36,0.9713764682014668,16.59385206328261,33.18770412656522,0.09573330356035126,0.09573330356035126,0.6065024371182994,0.3000370046742604
sim-participant-006,green,B_rich,36,36,0.8234452402767853,32.9392264883313,32.9392264883313,0.10032103695329449,0.09808726763724218,0.5155448078463442,0.2666543646098777
sim-participant-007,blue,A_rich,36,36,0.7638639538291127,20.45825517207986,40.91651034415971,0.21115713719563695,0.21115713719563695,0.7696441783433938,0.31680505916606017
sim-participant-007,green,B_rich,36,36,0.9396037558338126,30.915291499516957,61.83058058419738,0.010833904947211592,0.010833904947211592,0.5738760050880335,0.37183430898762837
sim-participant-008,blue,B_rich,36,36,0.9594187735837509,29.35714080144444,58.71428160288888,0.16876429578938906,0.16876429578938906,0.7711415935477657,0.2624249075492229
sim-participant-008,green,A_rich,36,36,0.8744047688584601,15.62407301854942,15.62407301854942,0.6007289929311304,0.30217306043665504,1.231210155104992,0.3153871476352842
sim-participant-009,blue,A_rich,36,36,0.8282158662467909,29.8779083468788,29.8779083468788,0.11318247678221699,0.10595915360365321,0.6192391076573417,0.37110848505609817
sim-participant-009,green,B_rich,36,36,0.9421173485776062,14.401124347803606,14.401124347803606,0.5493521538543923,0.1569286578288086,0.9850350997598978,0.27369562996827024
sim-participant-010,blue,B_rich,36,36,0.8834582169795612,4.423858318990712,8.847716637981422,0.00927572316970382,0.00927572316970382,0.6512854619298698,0.42352501270468534
sim-participant-010,green,A_rich,36,36,0.9089409891275777,39.61488372262552,79.22976744525104,0.5882156043505249,0.2067865038116992,0.8942675033640782,0.3572630815153809
