bin,p_base_rich,n
-40,0.5709459459459459,592
-32,0.5759878419452887,658
-24,0.6048850574712644,696
-16,0.625,696
-8,0.6652298850574713,696
0,0.5962643678160919,696
8,0.46839080459770116,696
16,0.41235632183908044,696
24,0.639367816091954,696
32,0.7194244604316546,695
40,0.6530944625407166,614
48,0.6084558823529411,544
56,0.5842217484008528,469
64,0.6896551724137931,261
