participant_id,horizon,best_k,unbinned,binned3,binned10
5dbcdf38a39098278b46036c,1,8,0.8210927493445352,0.7662367955386075,0.3291952923552741
5dbcdf38a39098278b46036c,3,1,0.7265238867187085,0.6700192499960269,0.3442312219635918
5dbcdf38a39098278b46036c,5,2,0.6349260516815383,0.5666018826125417,0.29164774454743436
5dbcdf38a39098278b46036c,10,1,0.415389811131318,0.36537937126335884,0.1857196958256817
5f89a35824bee7076b6d536c,1,3,0.5689515278833928,0.452839828851895,0.2131173531293029
5f89a35824bee7076b6d536c,3,1,0.4781373227318484,0.36930641639854067,0.13698565628599102
5f89a35824bee7076b6d536c,5,1,0.38167304600471696,0.29162129528787817,0.07125812392297703
5f89a35824bee7076b6d536c,10,8,0.19923748736436997,0.15055012719645622,0.06810910727188468
60324e0d654dbd21e0e7fa2d,1,5,0.7480409370973337,0.6790530923874742,0.33260370317264343
60324e0d654dbd21e0e7fa2d,3,8,0.6485298909675574,0.594420597167228,0.27611429199119675
60324e0d654dbd21e0e7fa2d,5,8,0.5321777597349113,0.47745126271198446,0.13604081772078735
60324e0d654dbd21e0e7fa2d,10,8,0.2947015382118292,0.25956116646916483,-0.0448668853725922
650f06d2017a53e840c5af61,1,1,0.7710211077804683,0.6792384375277798,0.28537956579781065
650f06d2017a53e840c5af61,3,3,0.6520473745474413,0.5572877627351469,0.23614882684758398
650f06d2017a53e840c5af61,5,8,0.5339618306569567,0.4602493771165529,0.15927640187835224
650f06d2017a53e840c5af61,10,8,0.31395222495481523,0.2631354144759519,0.03058667456150166
664b8bef90cdb799d4c4c35d,1,1,0.7785457326317993,0.6707284632859982,0.373764977066703
664b8bef90cdb799d4c4c35d,3,1,0.6705796092271985,0.5943556575477089,0.28537187371076955
664b8bef90cdb799d4c4c35d,5,1,0.5685787770009586,0.4999918117843134,0.23012943520650886
664b8bef90cdb799d4c4c35d,10,8,0.3586603459247609,0.32252478305823007,0.06658324767478141
681b781064a5701a5ceee3bc,1,3,0.7595655028072033,0.6376165819424967,0.4223123119485329
681b781064a5701a5ceee3bc,3,3,0.6679079254219916,0.5511481219091513,0.3320086573176074
681b781064a5701a5ceee3bc,5,3,0.5594258647685826,0.4620646614695155,0.1989984694022653
681b781064a5701a5ceee3bc,10,8,0.35296696889205004,0.282158596961294,0.02655341271393119
6931bc7a9286300ba24d7703,1,5,0.4517685476798463,0.22690833599725768,0.10281109409395006
6931bc7a9286300ba24d7703,3,5,0.20725212793318581,0.03330337426184782,0.10021965487236173
6931bc7a9286300ba24d7703,5,2,0.08376310727876812,-0.046253726371192405,0.05566834790780384
6931bc7a9286300ba24d7703,10,1,0.010830413645255721,-0.1116183311068506,0.16223066440852463
697aa4b8d2b6c1b3b9d7ae2c,1,1,0.8478663513860004,0.7684265453250951,0.5689765414479311
697aa4b8d2b6c1b3b9d7ae2c,3,1,0.7620731864949745,0.6958349137422518,0.5238122641395947
697aa4b8d2b6c1b3b9d7ae2c,5,1,0.6699221922219873,0.6182982274207718,0.45999284822807607
697aa4b8d2b6c1b3b9d7ae2c,10,8,0.46123291325623905,0.4243764756952486,0.26850164967679424
698078075d3326e1b30bd1c3,1,3,0.7847188134733215,0.7142674802044281,0.31526421507198266
698078075d3326e1b30bd1c3,3,5,0.6789687876701014,0.6050223383829565,0.2636925074150279
698078075d3326e1b30bd1c3,5,3,0.5667120390480582,0.4848822074768063,0.22556522954046854
698078075d3326e1b30bd1c3,10,5,0.31840548339246755,0.2723311789857781,0.10135087488755123
69825ba5f82e6ac78f401931,1,1,0.8276280375591278,0.7605482389465616,0.48135578781923527
69825ba5f82e6ac78f401931,3,5,0.7283820468804676,0.6628864630030671,0.39866580724601697
69825ba5f82e6ac78f401931,5,8,0.6313893796767112,0.5680533024148269,0.27558194055677654
69825ba5f82e6ac78f401931,10,8,0.41403471500582334,0.36856471744114805,0.08711852707633028
69861227e96662416a5b08ac,1,1,0.7238589407731184,0.6637161904970834,0.18940687297285663
69861227e96662416a5b08ac,3,5,0.5813477278586718,0.5371701225682627,0.06306265740834383
69861227e96662416a5b08ac,5,8,0.4477393034842938,0.4016990843744328,-0.046491541023775174
69861227e96662416a5b08ac,10,8,0.2122577384666532,0.18953242328792574,-0.15176639048837548
698754c1f51d3f9181f7952b,1,5,0.7640515719783405,0.6676368995667183,0.19045816374458835
698754c1f51d3f9181f7952b,3,3,0.6449618575157428,0.5667647877474755,0.10832101379574699
698754c1f51d3f9181f7952b,5,3,0.5149427135993083,0.44155630248248323,0.03999768137532966
698754c1f51d3f9181f7952b,10,5,0.27323104196381265,0.22462213896839,0.06487925138483219
