participant_id,fitted,n_transitions,skill_A_i,skill_A_ic,ridge_alpha,spectral_radius,lambda1_real,lambda1_imag,lambda2_mag,complex_pair,dominant_feature,half_life_bins,oscillation_period_bins,loading_choice_prop_left,loading_reward_rate,loading_switch_rate
5dbcdf38a39098278b46036c,True,375,0.5787302847120757,0.5943539939150824,1.0,0.23563843561496822,0.23563843561496822,0.0,0.20354897346214068,True,P(left),0.47953507010698626,,-0.9978813145086641,0.03167568568356699,-0.05682898108303894
5f89a35824bee7076b6d536c,True,375,0.48941527101221105,0.503041162765828,0.01,0.1222435193909006,0.1222435193909006,0.0,0.10160767755573387,True,P(left),0.3297968001530663,,-0.9917371917335769,0.07556613956202995,-0.10366822601014447
60324e0d654dbd21e0e7fa2d,True,375,0.4381872619437239,0.4614829065612478,10.0,0.5069228093677863,0.5069228093677863,0.0,0.15368855100164716,False,switch rate,1.0202394964742114,,0.001581266189166819,-0.012123309399139134,0.999925259690169
650f06d2017a53e840c5af61,True,358,0.534679467969128,0.529288918393007,10.0,0.10111339493260137,0.08911839744648947,-0.04776850292154604,0.10111339493260137,True,reward rate,0.30248455079032477,12.769657602196961,0.1402133481897337,-0.9877341478683834,-0.06871295455838806
664b8bef90cdb799d4c4c35d,True,375,0.4159674124916408,0.43975048386886684,10.0,0.45973597562269497,0.45973597562269497,0.0,0.1903673118372834,False,switch rate,0.8919631652859346,,-0.5541734554712809,0.17446766968895192,0.8139120428426693
681b781064a5701a5ceee3bc,True,375,0.5509208296586037,0.5684278164136817,10.0,0.11516234521669957,-0.11516234521669957,0.0,0.05676447866949744,False,reward rate,0.32069176848312636,,-0.3535783721951667,-0.8281179431475194,0.4349747199009825
6931bc7a9286300ba24d7703,True,375,0.5028333155645777,0.5472775573011472,10.0,0.22966814828310772,0.22966814828310772,0.0,0.05690999168574568,True,reward rate,0.4711697572984911,,-0.19043579493988455,0.7319347727906862,0.6542214429269808
697aa4b8d2b6c1b3b9d7ae2c,True,375,0.4234741055016652,0.4148761739882417,0.01,0.4761630797106576,0.4761630797106576,0.0,0.41522671515563375,False,switch rate,0.9341670679742821,,0.2913791355387724,0.2706928891231185,0.9175094327312701
698078075d3326e1b30bd1c3,True,375,0.5395780276756811,0.5228725146095126,10.0,0.29195105924317033,0.29195105924317033,0.0,0.19814632446770028,True,P(left),0.5629991710803104,,-0.9977442592342483,-0.02509438138365362,0.06226287166580924
69825ba5f82e6ac78f401931,True,375,0.5607962767110793,0.5762127642598684,10.0,0.29865458338551776,0.29865458338551776,0.0,0.276286908485171,True,P(left),0.5735753057475954,,-0.9989952470178459,-0.041287498338746204,0.017430975781090423
69861227e96662416a5b08ac,True,375,0.5351767587693762,0.5859769137492056,10.0,0.1265016594435677,-0.10518749856473762,-0.07027275423426708,0.1265016594435677,True,reward rate,0.33525863599525846,2.461466932337813,0.09762684849519275,0.9676202807391823,-0.23276595703651068
698754c1f51d3f9181f7952b,True,307,0.41330867133746574,0.4182096339340341,0.01,0.4113422096193477,0.4113422096193477,0.0,0.12605169332447422,True,switch rate,0.7802813695473682,,0.306822703942113,0.47912891353204257,0.8223717605579943
