participant_id,n_responses,duration_min,responses_per_s,reward_rate,switch_rate,n_blocks,n_perturbations,cod_blocked_share,reinforcers_withheld
5f89a35824bee7076b6d536c,4260,30.473366666666667,2.3299033801100633,0.40774647887323945,0.1255868544600939,38,8,0.1523474178403756,649
60324e0d654dbd21e0e7fa2d,4260,21.742616666666667,3.265476326446449,0.41784037558685444,0.0784037558685446,38,8,0.09225352112676057,393
681b781064a5701a5ceee3bc,4260,18.729333333333333,3.7908450202890296,0.4244131455399061,0.0772300469483568,38,8,0.08732394366197183,372
697aa4b8d2b6c1b3b9d7ae2c,4260,13.523683333333334,5.250048988133163,0.3220657276995305,0.05985915492957746,38,8,0.08286384976525822,353
698078075d3326e1b30bd1c3,4260,21.50518333333333,3.3015296312284406,0.39436619718309857,0.05821596244131456,38,8,0.07183098591549296,306
699b19eb2744be8e2c9e73ed,4260,19.09445,3.7183579521798222,0.2619718309859155,0.04225352112676056,38,8,0.056338028169014086,240
69ab872f2dc6e02760face50,4260,14.263966666666667,4.977577532196514,0.30093896713615026,0.056103286384976525,38,8,0.08262910798122065,352
69ed0ecd116ddecaafd2d726,4260,17.538616666666666,4.048209807500972,0.4028169014084507,0.14061032863849765,38,8,0.19061032863849764,812
6a17230d60e2a318a8073ab6,4260,26.608983333333335,2.6682718054491623,0.42934272300469484,0.07370892018779343,38,8,0.08497652582159625,362
6a19b14498b3d36bccc467cb,4260,17.710016666666668,4.009030670966807,0.2805164319248826,0.20046948356807512,38,8,0.21220657276995306,904
6a1e249fc87cc5282b9262b3,4260,18.565350000000002,3.8243286552637032,0.410093896713615,0.047417840375586856,38,8,0.059154929577464786,252
6a43a2cd49feba211cdecf86,4260,24.05405,2.951685890733577,0.4788732394366197,0.1288732394366197,38,8,0.13615023474178403,580
6a4407786c0afee02f74e0d0,4260,22.109583333333333,3.2112771611103783,0.4931924882629108,0.08145539906103286,38,8,0.08474178403755868,361
