participant_id,color,contingency,stage_pair,n_early,n_late,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,early_predicts_late_skill
5dbcdf38a39098278b46036c,blue,A_rich,1v3,36,36,0.9705063349715808,28.888279437795507,57.776558875591014,0.20956558708895118,0.20956558708895118,0.6562653588997224,0.6097607714751754
5dbcdf38a39098278b46036c,blue,B_rich,2v4,36,36,0.8737580763807891,14.339649147205915,28.67929829441182,0.1575304047017148,0.1575304047017148,0.517971006590388,0.5859408966084363
5dbcdf38a39098278b46036c,green,A_rich,2v4,36,36,0.999779912186963,0.8337676887170398,1.6675353774340522,0.382660302295323,0.382660302295323,0.5790236484614311,0.4735441767593144
5dbcdf38a39098278b46036c,green,B_rich,1v3,36,36,0.9761529596859515,31.260411454807727,62.520822909615454,0.08022988163744094,0.08022988163744094,0.5362043632046762,0.6300665384945635
5f89a35824bee7076b6d536c,blue,A_rich,1v3,36,36,0.7018216996435918,25.485213086296476,50.97042496517468,0.8451970530225809,0.07002153036938652,0.8263785695131962,0.51652342551431
5f89a35824bee7076b6d536c,blue,B_rich,2v4,36,36,0.9428462709026542,19.464820374560567,19.464820374560567,0.34527482176547625,0.09599858605616027,0.9225728090945713,0.5182146945860209
5f89a35824bee7076b6d536c,green,A_rich,2v4,36,36,0.4046941005396962,29.98775993053663,29.98775993053663,0.6208521612345451,0.08382684335849322,0.9660117188352898,0.4032818874034356
5f89a35824bee7076b6d536c,green,B_rich,1v3,36,36,0.6705032209688402,23.046414899953106,23.046414899953106,0.5363024717056999,0.2373005115208703,0.9135725090141825,0.5050870884243654
60324e0d654dbd21e0e7fa2d,blue,A_rich,2v4,36,36,0.30014620587357516,32.96650342495346,65.93300684990692,0.8787875034854908,0.10288721377637422,1.2684405767898361,0.4456238148900378
60324e0d654dbd21e0e7fa2d,blue,B_rich,1v3,36,36,0.47742486642183224,57.481831585447814,57.481831585447814,0.19414677459128632,0.19103342953694313,0.8477799749479823,0.2670278375741686
