participant_id,n_transitions,rho,complex,kernel_agreement,top_mode_share,modes_for_90pct,null_modes_for_90pct_median,null_top_mode_share_median,exceeds_null
5dbcdf38a39098278b46036c,375,0.8009205212126205,False,4.163336342344337e-16,0.4879843331579008,3,3.0,0.4849221699136783,False
5f89a35824bee7076b6d536c,375,0.7098119762950149,False,1.1796119636642288e-16,0.44879701861385857,3,3.0,0.4938863595842763,False
60324e0d654dbd21e0e7fa2d,375,0.8917221383866969,False,2.220446049250313e-16,0.5769784037934214,4,3.0,0.4891721656852509,True
650f06d2017a53e840c5af61,358,0.10211034521230032,True,1.1102230246251565e-16,0.5054839677719118,2,3.0,0.4926453778671068,False
664b8bef90cdb799d4c4c35d,375,0.47884832328915744,False,1.942890293094024e-16,0.47291920183634967,3,3.0,0.49381060848601527,False
681b781064a5701a5ceee3bc,375,0.856795243899571,False,7.044319165055111e-17,0.3736206588478424,3,3.0,0.4877315984301813,False
6931bc7a9286300ba24d7703,375,0.6031493353096987,False,2.220446049250313e-16,0.42001542145048415,3,3.0,0.4831269969475283,False
697aa4b8d2b6c1b3b9d7ae2c,375,0.7447738255742824,False,3.3306690738754696e-16,0.41240755341956803,3,3.0,0.4770890765036494,False
698078075d3326e1b30bd1c3,375,0.30429572743830974,False,2.7755575615628914e-16,0.4698609564755365,2,3.0,0.4884917299048952,False
69825ba5f82e6ac78f401931,375,0.3470338340871733,False,4.440892098500626e-16,0.40323557481803735,3,3.0,0.48642432178999045,False
69861227e96662416a5b08ac,375,0.7268866822558568,False,2.42861286636753e-16,0.40468001760710237,3,3.0,0.49122338730004766,False
698754c1f51d3f9181f7952b,307,0.4400495977571004,False,1.3199567425211868e-16,0.4543890129600348,3,3.0,0.4879583492187314,False
699b19eb2744be8e2c9e73ed,375,0.6483885180335486,False,3.3306690738754696e-16,0.35800963743483344,3,3.0,0.4864378152035419,False
69ab872f2dc6e02760face50,375,0.5127262281986574,False,4.996003610813204e-16,0.4548321027360881,3,3.0,0.4865396615963461,False
69cbcb9a5c8b56847e4ebda5,375,0.8006275308442254,False,2.220446049250313e-16,0.5015757338854112,2,3.0,0.4929657430834261,False
69ed0ecd116ddecaafd2d726,375,0.29734758281426427,False,1.6653345369377348e-16,0.3586376199306226,3,3.0,0.4780846657261012,False
6a0415c09c578ebcf634a8f7,375,0.5235134470440971,False,1.3877787807814457e-16,0.49447032930409196,3,3.0,0.4869224722053401,False
6a17230d60e2a318a8073ab6,375,0.2151007661897006,False,1.2836953722228372e-16,0.4192809714592913,3,3.0,0.49507664194331025,False
6a19b14498b3d36bccc467cb,375,0.7770778450366332,False,2.220446049250313e-16,0.4019718675277506,4,3.0,0.48494786531818734,True
6a1e249fc87cc5282b9262b3,375,0.6419616182837176,False,1.1102230246251565e-16,0.4625707559768126,3,3.0,0.4866251076837441,False
6a22f88b62f94cd1d52e3d19,375,0.4020764493540604,False,1.8041124150158794e-16,0.4917048758321234,3,3.0,0.49417581476277844,False
6a43a2cd49feba211cdecf86,375,0.8598044870286367,False,2.317831723421833e-16,0.3858928932454154,4,3.0,0.4887189933392496,True
6a4407786c0afee02f74e0d0,375,0.7572980413765452,False,1.1102230246251565e-16,0.35049167746077864,4,3.0,0.4878336601259567,True
