pid,n,switch,trans_ok,trans_disp,app_mag,app_decay,avr_mag,avr_decay,pert_pre,pert_during,pert_after
5b94fffd,2360,0.15338983050847457,15/23,0.15625,0.10474496858280435,14,-0.05101513387487633,,0.6527777777777778,0.6944444444444444,0.5017667844522968
5c549320,2360,0.41483050847457625,19/23,0.34375,0.08320059240809985,5,-0.1640163746658143,6.0,0.653125,0.5375,0.6480263157894737
5f6cd5ce,1919,0.5497655028660761,15/18,0.125,0.18794547110286525,1,-0.13835002197114504,8.0,0.49583333333333335,0.475,0.5958333333333333
629642bf,2360,0.0788135593220339,19/23,0.34375,0.06464944940577111,9,-0.13279893581953173,8.0,0.7244318181818182,0.6193181818181818,0.7073863636363636
69729ec1,1603,0.5558328134747349,10/15,0.125,0.03860905576493667,13,-0.039092645983094365,,0.6153846153846154,0.6153846153846154,0.5769230769230769
69f21ed1,2360,0.16483050847457628,19/23,0.40625,0.11929400928467926,8,-0.03704297447506277,7.0,0.5798611111111112,0.6111111111111112,0.7352941176470589
6a2326ce,1029,0.28668610301263364,8/9,0.40625,-0.21217018032027735,2,-0.07371744176845685,6.0,0.6796875,0.5,0.671875
