participant_id,B_A1,rho_A1,B_B1,rho_B1,B_A2,rho_A2,B_B2,rho_B2,B_sign_flips,rho_spread,rho_spread_null_p95,rho_unstable,pre_switch_alignment,n_switches,cue_gain_near,cue_gain_far,n_near
5dbcdf38a39098278b46036c,0.10338115432988003,0.7366175539117475,-0.13364883345136658,0.20011559202836016,0.11425384071870465,0.35469503233651584,-0.16862475604713634,0.283897661276787,True,0.5365019618833874,0.5879571210753235,False,-0.24285714285714288,28,2.8835135802879592,-4.130027893126511,7
5f89a35824bee7076b6d536c,0.1209157172252174,0.5668503186398924,-0.018142567255849333,0.795188244122282,0.14131655991222616,0.4591718958569243,-0.13576482919336455,0.6026487656506185,True,0.33601634826535764,0.6565812786917228,False,-0.13571428571428568,28,-3.4243567320271096,-13.891943421987111,7
60324e0d654dbd21e0e7fa2d,-0.0958485855582871,0.8802744585204798,0.1108734035214674,0.530237761594033,-0.14169221750777472,0.25076782989708013,0.13317444244647889,0.23042696286836906,True,0.6498474956521108,0.7215237718621103,False,-0.42499999999999993,28,-3.3460883154094967,-3.1459372795926877,7
650f06d2017a53e840c5af61,-0.11436320241114178,0.23109123506680174,0.14395418303499674,0.2283166272631775,-0.1036772934210016,0.206094184533946,0.1007355008621538,0.17053929923434466,True,0.06055193583245708,0.38070734874908796,False,-0.1285714285714286,28,-4.490734380383534,-1.2811816021448423,7
664b8bef90cdb799d4c4c35d,0.0010003115255136019,0.1946424096256526,-0.07253577539964154,0.2739407561400939,0.061950199756647555,0.3405098887739478,-0.0501014312021963,0.2553739813336792,True,0.14586747914829518,0.39812681377336273,False,-0.03214285714285715,28,-1.8923613144210556,0.1901619495820628,7
681b781064a5701a5ceee3bc,0.2207524098725885,0.8572890728430814,-0.11198517600675097,0.8345026239840774,0.11570282159734438,0.1766255385479173,-0.15556079973776674,0.2537432986659623,True,0.6806635342951641,0.7852209054773417,False,0.01428571428571429,28,4.485040451021083,-4.788023269843931,7
6931bc7a9286300ba24d7703,0.1086789361664815,0.638558467149388,-0.10763724467023825,0.41913278118328434,0.09882348306517495,0.33610682315713947,-0.11621091857072477,0.568347372092488,True,0.30245164399224855,0.5448068540242199,False,-0.1571428571428571,28,-2.5804099047690054,-0.7096257750607508,7
697aa4b8d2b6c1b3b9d7ae2c,-0.04501831764099853,0.7063244384514962,0.0964049384712119,0.4904787224132019,-0.05837583676527414,0.5405753352937492,0.08810570193111865,0.33848357224193837,True,0.3678408662095578,0.6659205197405811,False,-0.08214285714285716,28,2.1025151188773625,-0.49434984989830966,7
698078075d3326e1b30bd1c3,0.13328135278593917,0.31497643258666036,-0.12860565529132145,0.2695141887815071,0.11530476706614112,0.39115816072305026,-0.08303331138832798,0.26685036421142067,True,0.1243077965116296,0.40028924777406655,False,-0.23928571428571427,28,-2.0016787586556206,-0.7946708394587023,7
69825ba5f82e6ac78f401931,-0.10968096209455737,0.5078854602324876,0.1771410201799451,0.23370549843043556,-0.05864351427068306,0.35978672704310993,0.04795445719368335,0.27470772384366554,True,0.27417996180205206,0.4495619335391825,False,-0.12142857142857143,28,1.3379549675091436,-0.11443293321327194,7
