participant_id,comparison,condition_pair,color,contingency,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance
5dbcdf38a39098278b46036c,same_color_diff_contingency,A1vB1,blue,left_rich,0.8294445655689688,17.964918714738943,35.92983742947787,0.15023009051832498,0.15023009051832498,0.945658031752989
5dbcdf38a39098278b46036c,diff_color_same_contingency,A1vB1,blue,left_rich,0.971951881176414,42.095013721987634,84.19002744397527,0.1797256289928872,0.1797256289928872,0.6135923711955131
5dbcdf38a39098278b46036c,same_color_diff_contingency,A1vB1,green,right_rich,0.9621924768874364,19.328204262936197,38.656408525872365,0.0680782115812858,0.0680782115812858,0.6144266591609305
5dbcdf38a39098278b46036c,diff_color_same_contingency,A1vB1,green,right_rich,0.9933362992748803,18.90741369661217,37.81482739322431,0.038582673106723586,0.038582673106723586,0.4508812929781843
5dbcdf38a39098278b46036c,same_color_diff_contingency,B1vA2,blue,right_rich,0.7423358203897026,35.402245512010566,70.80449102402113,0.060942560678766466,0.060942560678766466,0.8301862301926463
5dbcdf38a39098278b46036c,diff_color_same_contingency,B1vA2,blue,right_rich,0.9907693813442009,12.825326929514045,25.650653859028072,0.042590516019091584,0.042590516019091584,0.6259538864449711
5dbcdf38a39098278b46036c,same_color_diff_contingency,B1vA2,green,left_rich,0.8942026902091907,39.14166918331644,78.28333688785354,0.013094977544529374,0.013094977544529374,0.8595762090669852
5dbcdf38a39098278b46036c,diff_color_same_contingency,B1vA2,green,left_rich,0.9040018667589723,16.58109932209518,33.16219864419033,0.031447022204204256,0.031447022204204256,0.5244991530993308
5f89a35824bee7076b6d536c,same_color_diff_contingency,A1vB1,blue,left_rich,0.04328054844027751,46.29836836838805,46.29836836838805,0.32985804951133835,0.20227586861408914,0.7632876468607369
5f89a35824bee7076b6d536c,diff_color_same_contingency,A1vB1,blue,left_rich,0.06320958761967242,36.122734545614975,72.24546909122995,0.015713699370114798,0.015713699370114798,0.5296328847052282
5f89a35824bee7076b6d536c,same_color_diff_contingency,A1vB1,green,right_rich,0.8420183813692544,19.08272224064128,38.16544448128255,0.18597195744723702,0.18597195744723702,0.699203827026782
5f89a35824bee7076b6d536c,diff_color_same_contingency,A1vB1,green,right_rich,0.9011775845070843,1.7458909428378178,1.7458909428378178,0.19786699100978292,0.03201761053696692,0.5962369493120219
