pid,kind,colour,n_events,log_d,log_d_se,magnitude,abs_mag,half_life,fit_r2,matching_a,operator_half_life
5b94fffd,appetitive,#B8860B,60,0.6856589534651667,0.27192022226002355,0.06286603870100815,0.06286603870100815,,-0.02836180702491098,0.4292217961534049,8.802099138904692
5b94fffd,aversive,#96382F,63,-0.2291791888696934,0.25295090909126267,-0.04297588209925013,0.04297588209925013,,0.14828678423471886,0.4292217961534049,8.802099138904692
5c549320,appetitive,#B8860B,62,0.4851415416154353,0.27011593941909695,0.21656987974548225,0.21656987974548225,,-0.1500460255256848,0.28921179367035854,3.5815772690677954
5c549320,aversive,#96382F,60,-1.0669811902791264,0.29545999972000014,-0.26690040270483406,0.26690040270483406,2.1829549838107454,0.5020457389855546,0.28921179367035854,3.5815772690677954
5f6cd5ce,appetitive,#B8860B,56,0.7830308190543742,0.2943902559033629,0.08665957970103816,0.08665957970103816,11.950321548645816,0.22600718088609817,0.2291895013745452,4.457079659688021
5f6cd5ce,aversive,#96382F,50,-0.5461307550586784,0.2931023568130576,-0.17537158830486343,0.17537158830486343,3.631970699598009,0.594677701161932,0.2291895013745452,4.457079659688021
629642bf,appetitive,#B8860B,61,0.42004206153175594,0.2612268516395136,0.2375409275792666,0.2375409275792666,,-1.3814803079421152,0.41251111691016157,1.9321831372466833
629642bf,aversive,#96382F,60,-0.7049545853575808,0.2795271766844762,-0.307849191358783,0.307849191358783,4.329515299979115,0.8507833762720366,0.41251111691016157,1.9321831372466833
69729ec1,appetitive,#B8860B,46,0.14676042471280684,0.3109968180817159,0.18568218484174936,0.18568218484174936,,-0.16004064411070185,0.16562090069342936,2.768533484889939
69729ec1,aversive,#96382F,41,-0.33476446460586845,0.3137199453024647,-0.22598734542331622,0.22598734542331622,,-0.13815903652164563,0.16562090069342936,2.768533484889939
69f21ed1,appetitive,#B8860B,64,0.7258584626692324,0.26919741114813983,0.024783724791348383,0.024783724791348383,,0.12525116145337334,0.4596960479238902,4.4820457045263
69f21ed1,aversive,#96382F,65,-0.1838623900626587,0.25215246098514205,-0.06253860958096169,0.06253860958096169,,0.013333002634666857,0.4596960479238902,4.4820457045263
6a2326ce,appetitive,#B8860B,29,-0.5047852270640489,0.38470711227883964,0.17894953667395874,0.17894953667395874,,0.1443595180012135,0.33043752483688765,3.4533093840926576
6a2326ce,aversive,#96382F,28,-0.5097054888813825,0.4075525852564745,-0.2704269945905239,0.2704269945905239,1.1864409439923862,0.6341251439318962,0.33043752483688765,3.4533093840926576
