session_id,trial_index,participant_id,prolific_pid,study_id,experiment_version,timestamp_utc,elapsed_time_ms,block_index,trial_in_block,response_time_ms,ici_ms,chosen_option,previous_option,switched,run_length,reward_outcome,points_earned,cumulative_points,vi_a_ms,vi_b_ms,rate_a_per_s,rate_b_per_s,richness_a,richness_b,effective_rate_a_per_s,effective_rate_b_per_s,cod_active,reinforcer_withheld_by_cod,part,physical_context_id,context_color,context_pattern,functional_contingency_id,exposure_number,reversal_stage,trials_since_context_switch,perturbation_active,perturbation_type,perturbation_id,perturbation_repetition,trials_since_perturbation_onset,trials_since_perturbation_offset,page_visible,fullscreen_active,focus_lost_count,browser_width,browser_height,input_method
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,0,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:21.761+00,58024,0,0,0,0,A,,0,1,1,1,1,603,500,1.65714285714286,2,0.58,0.7,0.961142857142857,1.4,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,0,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,1,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:23.433+00,59696,0,1,1672,1672,A,A,0,2,1,1,2,470,356,2.12635142861775,2.81206571433204,0.744223000016212,0.984223000016212,1.58247963929466,2.76769975360261,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,1,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,2,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:25.003+00,61267,0,2,1571,1571,A,A,0,3,1,1,3,398,350,2.51428571428571,2.85714285714286,0.88,1,2.21257142857143,2.85714285714286,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,2,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,3,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:26.57+00,62834,0,3,1567,1567,A,A,0,4,1,1,4,398,350,2.51428571428571,2.85714285714286,0.88,1,2.21257142857143,2.85714285714286,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,3,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,4,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:27.92+00,64183,0,4,1350,1350,B,A,1,1,0,0,4,350,398,2.85714285714286,2.51428571428571,1,0.88,2.85714285714286,2.21257142857143,1,1,practice,neutral,#4A4A4A,plain,symmetric,0,,4,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,5,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:29.38+00,65643,0,5,1460,1460,B,B,0,2,1,1,5,350,398,2.85714285714286,2.51428571428571,1,0.88,2.85714285714286,2.21257142857143,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,5,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,6,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:30.73+00,66994,0,6,1351,1351,A,B,1,1,0,0,5,398,350,2.51428571428571,2.85714285714286,0.88,1,2.21257142857143,2.85714285714286,1,1,practice,neutral,#4A4A4A,plain,symmetric,0,,6,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,7,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:31.373+00,67637,0,7,643,643,A,A,0,2,1,1,6,403,350,2.48384000002316,2.85714285714286,0.869344000008106,1,2.15931140100027,2.85714285714286,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,7,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,8,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:32.511+00,68774,0,8,1138,1138,A,A,0,3,1,1,7,398,350,2.51428571428571,2.85714285714286,0.88,1,2.21257142857143,2.85714285714286,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,8,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,9,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:33.597+00,69860,0,9,1086,1086,A,A,0,4,1,1,8,398,350,2.51428571428571,2.85714285714286,0.88,1,2.21257142857143,2.85714285714286,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,9,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,10,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:34.517+00,70780,0,10,920,920,A,A,0,5,1,1,9,398,350,2.51428571428571,2.85714285714286,0.88,1,2.21257142857143,2.85714285714286,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,10,0,,,,,,1,0,0,1920,991,keyboard
eigen-dynamics-1.0.0::5c9b65b9fc4fa100125107e2,11,5c9b65b9fc4fa100125107e2,5c9b65b9fc4fa100125107e2,6aa33c9f3f1373c6733bb498,eigen-dynamics-1.0.0,2026-09-11 00:48:35.477+00,71740,0,11,960,960,A,A,0,6,1,1,10,398,350,2.51428571428571,2.85714285714286,0.88,1,2.21257142857143,2.85714285714286,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,11,0,,,,,,1,0,0,1920,991,keyboard
